Edge MSCI World Momentum, 45.31,1087.24,20
Edge MSCI World Quality, 36.38,1091.34,20
Core MSCI EM IMI (Acc), 25.74,1106.85,20
Edge MSCI World Value, 23.40,1099.71,20
MSCI World Small Cap, 4.47,1098.75,20
