Name, Preis, Depotstand, Gewichtung
Edge MSCI World Momentum, 45.31,679.45,20
Edge MSCI World Quality, 36.38,654.78,20
Core MSCI EM IMI (Acc), 25.74,669.27,20
Edge MSCI World Value, 23.40,678.51,20
MSCI World Small Cap, 4.47,651.75,20
