Name, Preis, Depotstand, Gewichtung
Edge MSCI World Momentum, 45.31,1041.93,20
Edge MSCI World Quality, 36.38,1018.58,20
Core MSCI EM IMI (Acc), 25.74,1029.63,20
Edge MSCI World Value, 23.40,1029.51,20
MSCI World Small Cap, 4.47,1013.82,20
