Name, Preis, Depotstand, Gewichtung
Edge MSCI World Momentum, 45.31,634.14,20
Edge MSCI World Quality, 36.38,618.40,20
Core MSCI EM IMI (Acc), 25.74,617.79,20
Edge MSCI World Value, 23.40,631.71,20
MSCI World Small Cap, 4.47,629.40,20
