Name, Preis, Depotstand, Gewichtung
Edge MSCI World Momentum, 45.31,1132.55,20
Edge MSCI World Quality, 36.38,1127.72,20
Core MSCI EM IMI (Acc), 25.74,1132.59,20
Edge MSCI World Value, 23.40,1123.11,20
MSCI World Small Cap, 4.47,1116.63,20
